Date,Team,Sum_Passing Score
01/01/06,ATL,0.634082413047487
01/01/06,BUF,0.377069747204874
01/01/06,CAR,0.719410866600742
01/01/06,CHI,0.814462631945819
01/01/06,CIN,0.569428555119054
01/01/06,CLE,0.392899427616691
01/01/06,CLT,0.710923511205304
01/01/06,CRD,0.538878537497123
01/01/06,DAL,0.354572630765818
01/01/06,DET,0.578418553800681
01/01/06,GNB,0.460517958173411
01/01/06,HTX,0.670525466586024
01/01/06,JAX,0.945967015693964
01/01/06,KAN,0.545784125555089
01/01/06,MIA,0.517860560673189
01/01/06,MIN,0.647589360007019
01/01/06,NOR,0.415624124320055
01/01/06,NWE,0.725152734151587
01/01/06,NYJ,0.298008380085492
01/01/06,OTI,0.743638954856723
01/01/06,PHI,0.669832441412044
01/01/06,PIT,0.248369738959579
01/01/06,RAM,0.423844379199423
01/01/06,RAV,0.329773156861832
01/01/06,SEA,0.558454625883543
01/01/06,SFO,0.37263051194553
01/01/06,TAM,0.464263836251104
01/01/06,WAS,0.368418023070393
01/01/12,ATL,0.673853339231047
01/01/12,BUF,0.481888378282396
01/01/12,CAR,0.379614583792167
01/01/12,CHI,0.258470182443012
01/01/12,CIN,0.528434633966472
01/01/12,CLE,0.402208531035368
01/01/12,CLT,0.458389227512838
01/01/12,CRD,0.50359578492208
01/01/12,DAL,0.47618487576865
01/01/12,DEN,0.250015237088627
01/01/12,DET,0.838928583665751
01/01/12,GNB,0.809589329298912
01/01/12,HTX,0.713123958147826
01/01/12,JAX,0.333784211082193
01/01/12,KAN,0.857012758314604
01/01/12,MIA,0.407839983033719
01/01/12,MIN,0.586485251563272
01/01/12,NOR,1.01927411052678
01/01/12,NWE,0.785634020526679
01/01/12,NYG,0.64056276837143
01/01/12,NYJ,0.648728034482854
01/01/12,OTI,0.554834870479444
01/01/12,PHI,0.61239136398751
01/01/12,PIT,0.49232901921209
01/01/12,RAI,0.686455306668077
01/01/12,RAM,0.805148541826238
01/01/12,RAV,0.416794479462629
01/01/12,SDG,0.587606786580604
01/01/12,SEA,0.415444407694127
01/01/12,SFO,0.731529188314587
01/01/12,TAM,0.517580379688623
01/01/12,WAS,0.537311365350425
01/01/17,ATL,0.721111737192684
01/01/17,BUF,0.565797177197151
01/01/17,CAR,0.337906848356074
01/01/17,CHI,0.751677738717453
01/01/17,CIN,0.496526781909958
01/01/17,CLE,0.511628561756601
01/01/17,CLT,0.747008642377118
01/01/17,CRD,0.787085090091266
01/01/17,DAL,0.769958240687113
01/01/17,DEN,0.501529683478072
01/01/17,DET,0.594356273662666
01/01/17,GNB,0.718034289645607
01/01/17,HTX,0.764656453812027
01/01/17,JAX,0.568942668024494
01/01/17,KAN,0.522315077213284
01/01/17,MIA,0.556169660967196
01/01/17,MIN,0.838522133306188
01/01/17,NOR,0.637417690735748
01/01/17,NWE,0.890900558443449
01/01/17,NYG,0.432035553585832
01/01/17,NYJ,0.544432794472854
01/01/17,OTI,0.335548931167727
01/01/17,PHI,0.60717371071118
01/01/17,PIT,0.534650686496364
01/01/17,RAI,0.651452562828623
01/01/17,RAM,1.70767061381369
01/01/17,RAV,0.709533150026299
01/01/17,SDG,0.541847468930056
01/01/17,SEA,0.77717728367016
01/01/17,SFO,0.371537271321705
01/01/17,TAM,0.427131486109086
01/01/17,WAS,0.403761560924869
01/01/84,PIT,0.544339717786783
01/01/84,RAI,0.493134050078522
01/01/84,RAM,0.713244432965591
01/01/84,WAS,0.816282658229113
01/01/89,BUF,0.443064072227762
01/01/89,MIN,0.383768450683985
01/01/89,OTI,0.407473596968874
01/01/89,SFO,0.728551980033571
01/01/95,CHI,0.461236201650862
01/01/95,CLE,0.504425304719552
01/01/95,MIN,0.869779186667591
01/01/95,NWE,0.692655309440482
01/02/00,BUF,0.624532025507419
01/02/00,CAR,0.625297883002339
01/02/00,CHI,0.432002416057121
01/02/00,CIN,0.252183367416056
01/02/00,CLT,0.686129237650762
01/02/00,CRD,0.597137648204529
01/02/00,DAL,0.844466030469199
01/02/00,DEN,0.45790506606388
01/02/00,DET,0.730671874905434
01/02/00,GNB,0.534753432512128
01/02/00,JAX,0.589691580105046
01/02/00,KAN,0.623374486634574
01/02/00,MIA,0.735262557603769
01/02/00,MIN,0.302600719121319
01/02/00,NOR,0.388481234244814
01/02/00,NWE,0.584252062572026
01/02/00,NYG,0.605573968493216
01/02/00,NYJ,0.371717731899802
01/02/00,OTI,0.694673225526154
01/02/00,PHI,0.419705040483643
01/02/00,PIT,0.549208446172959
01/02/00,RAI,0.54635751871286
01/02/00,RAM,0.599895552957327
01/02/00,RAV,0.533716839356597
01/02/00,SDG,0.52239123760803
01/02/00,SEA,0.44438890041674
01/02/00,TAM,0.465404965448361
01/02/00,WAS,0.662974821114735
01/02/05,ATL,0.65522774540313
01/02/05,BUF,0.349017656998747
01/02/05,CAR,0.54097569583389
01/02/05,CHI,0.221662733886766
01/02/05,CIN,0.48221353178057
01/02/05,CLE,0.42573805912776
01/02/05,CLT,0.72795577115348
01/02/05,CRD,0.411290848283528
01/02/05,DAL,0.662115809629408
01/02/05,DEN,0.544188033354246
01/02/05,DET,0.652044978122125
01/02/05,GNB,0.84330075538589
01/02/05,HTX,0.766673150031157
01/02/05,JAX,0.371107674072596
01/02/05,KAN,0.558789532347215
01/02/05,MIA,0.357218967885279
01/02/05,MIN,0.582742000818304
01/02/05,NOR,0.412362302319997
01/02/05,NWE,0.760497652313302
01/02/05,NYG,0.496000036018286
01/02/05,NYJ,0.395679540892448
01/02/05,OTI,0.753912507491458
01/02/05,PHI,0.70857173745497
01/02/05,PIT,0.529368770536666
01/02/05,RAI,0.293244192757751
01/02/05,RAM,0.839643707770712
01/02/05,RAV,0.465489312693774
01/02/05,SDG,0.922625335170232
01/02/05,SEA,0.417321863253142
01/02/05,SFO,0.484986016849678
01/02/05,TAM,0.340893927394677
01/02/05,WAS,0.429264248937957
01/02/11,ATL,0.837145064313171
01/02/11,BUF,0.389230399860866
01/02/11,CAR,0.632687514626335
01/02/11,CHI,0.276956084970612
01/02/11,CIN,0.587025981223816
01/02/11,CLE,0.793458360160413
01/02/11,CLT,0.632954762591528
01/02/11,CRD,0.651932255638333
01/02/11,DAL,0.396361502192643
01/02/11,DEN,0.408474438250777
01/02/11,DET,0.548687509826859
01/02/11,GNB,0.436010073716535
01/02/11,HTX,0.513267410672341
01/02/11,JAX,0.716154101041542
01/02/11,KAN,0.415968992174458
01/02/11,MIA,0.601490558502016
01/02/11,MIN,0.357018701479249
01/02/11,NOR,0.689924492204341
01/02/11,NWE,0.854894386908963
01/02/11,NYG,0.483725729669578
01/02/11,NYJ,0.805542069024184
01/02/11,OTI,0.64586580427065
01/02/11,PHI,0.271755252564764
01/02/11,PIT,1.05130468556401
01/02/11,RAI,0.602922668358859
01/02/11,RAM,0.368343401130209
01/02/11,RAV,0.256232549340853
01/02/11,SDG,0.394546621530421
01/02/11,SEA,0.55114989867469
01/02/11,SFO,0.518955391369371
01/02/11,TAM,0.730374977105063
01/02/11,WAS,0.599165038024029
01/02/82,DAL,0.443261605995461
01/02/82,MIA,0.901504665605976
01/02/82,SDG,0.961388816135917
01/02/82,TAM,0.165534770253102
01/02/83,ATL,0.551635266161938
01/02/83,BUF,0.452741602832445
01/02/83,CHI,0.377320212089129
01/02/83,CIN,0.832877399818167
01/02/83,CLE,0.467714064804841
01/02/83,CLT,0.429937586916537
01/02/83,CRD,0.24175639087493
01/02/83,DEN,0.619733901131865
01/02/83,DET,0.731028801748589
01/02/83,GNB,0.282873555795097
01/02/83,KAN,0.727116977099583
01/02/83,MIA,1.01418162225951
01/02/83,NOR,0.787660973536112
01/02/83,NWE,0.597094386756784
01/02/83,NYG,0.394099446424578
01/02/83,NYJ,0.661362875999432
01/02/83,OTI,0.494811982775075
01/02/83,PHI,0.403552473195991
01/02/83,PIT,0.436272173360565
01/02/83,RAI,0.443334569304779
01/02/83,RAM,1.21041251301701
01/02/83,SDG,0.424350059132225
01/02/83,SEA,1.0884834942392
01/02/83,SFO,0.547139759133026
01/02/83,TAM,0.779659041535857
01/02/83,WAS,0.429981923073191
01/02/93,KAN,0.238889463390367
01/02/93,MIN,0.173916686033035
01/02/93,SDG,0.31534618643171
01/02/93,WAS,0.635639132401299
01/02/94,ATL,0.595847365012328
01/02/94,BUF,0.718699282626197
01/02/94,CHI,0.491378257322886
01/02/94,CIN,0.326972612438505
01/02/94,CLE,0.409989328195755
01/02/94,CLT,0.583109579931748
01/02/94,CRD,0.676962799452534
01/02/94,DAL,0.440206020044816
01/02/94,DEN,0.709210131414366
01/02/94,DET,0.450046154979636
01/02/94,GNB,0.340944710997627
01/02/94,KAN,0.753893019432459
01/02/94,MIA,0.716570206968263
01/02/94,NOR,0.486777017368386
01/02/94,NWE,0.723924459645897
01/02/94,NYG,0.358611358012956
01/02/94,NYJ,0.46497820570758
01/02/94,OTI,0.703418887387635
01/02/94,PIT,0.402996408274043
01/02/94,RAI,0.631184112375519
01/02/94,RAM,1.03157469735494
01/02/94,SDG,0.583640027527818
01/02/94,SEA,0.512017738608714
01/02/94,TAM,0.776810514774018
01/02/99,BUF,0.497294601340698
01/02/99,CRD,0.499228679091953
01/02/99,DAL,0.366463571692758
01/02/99,MIA,0.500308160357478
01/03/00,ATL,0.66169189052889
01/03/00,SFO,0.649780214515581
01/03/04,CAR,0.518108106865127
01/03/04,DAL,0.377575718903987
01/03/04,OTI,0.333618635965742
01/03/04,RAV,0.420220922046532
01/03/09,ATL,0.466436624405586
01/03/09,CLT,0.606024248802297
01/03/09,CRD,0.552030135401378
01/03/09,SDG,0.373217367722973
01/03/10,ATL,0.494989710306239
01/03/10,BUF,0.551126324422347
01/03/10,CAR,0.412407407704874
01/03/10,CHI,0.650971479013473
01/03/10,CIN,0.416725097613807
01/03/10,CLE,0.280317839096514
01/03/10,CLT,0.580151978411747
01/03/10,CRD,0.81679737390423
01/03/10,DAL,0.549193375065929
01/03/10,DEN,0.579345554248385
01/03/10,DET,0.52505884170565
01/03/10,GNB,0.70431566706978
01/03/10,HTX,0.585669129662228
01/03/10,JAX,0.487443922139405
01/03/10,KAN,0.578769415759202
01/03/10,MIA,1.06892847135865
01/03/10,MIN,0.990124364697237
01/03/10,NOR,0.380010407566097
01/03/10,NWE,0.689231307000147
01/03/10,NYG,0.574802908277816
01/03/10,NYJ,0.333431994094371
01/03/10,OTI,0.41379574004908
01/03/10,PHI,0.417709580951794
01/03/10,PIT,0.701547440805318
01/03/10,RAI,0.725868722497011
01/03/10,RAM,0.41737138593099
01/03/10,RAV,0.274849812748635
01/03/10,SDG,0.849250756948326
01/03/10,SEA,0.61304449711575
01/03/10,SFO,0.441363016327669
01/03/10,TAM,0.385687548801797
01/03/10,WAS,0.647520083868637
