Date,Team,Sum_Rec Score
01/01/06,ATL,0.895452426883496
01/01/06,BUF,0.906312776391719
01/01/06,CAR,0.698391909526126
01/01/06,CHI,0.530366754761369
01/01/06,CIN,0.508298992347182
01/01/06,CLE,0.816920760632694
01/01/06,CLT,0.883947638002154
01/01/06,CRD,1.13966402450385
01/01/06,DAL,0.799968186405511
01/01/06,DET,0.931303761685201
01/01/06,GNB,1.02069196328389
01/01/06,HTX,0.709896698407466
01/01/06,JAX,0.956684455509373
01/01/06,KAN,1.04211147216462
01/01/06,MIA,0.94059069259255
01/01/06,MIN,1.05415932984974
01/01/06,NOR,1.0302024063281
01/01/06,NWE,0.870527795347074
01/01/06,NYJ,0.390590019392769
01/01/06,OTI,0.905265674127958
01/01/06,PHI,0.975908287107655
01/01/06,PIT,0.345363133103145
01/01/06,RAM,0.63574724652195
01/01/06,RAV,0.528723184296723
01/01/06,SEA,0.681035058343759
01/01/06,SFO,0.665537763627822
01/01/06,TAM,0.672619790921133
01/01/06,WAS,0.452536741441128
01/01/12,ATL,0.681184604456514
01/01/12,BUF,1.53718281310243
01/01/12,CAR,0.646288039363256
01/01/12,CHI,0.566530120094913
01/01/12,CIN,0.800533333715238
01/01/12,CLE,0.640138601086854
01/01/12,CLT,1.10629651662838
01/01/12,CRD,0.909876726669388
01/01/12,DAL,1.21038060350765
01/01/12,DEN,0.192678302992085
01/01/12,DET,1.99217748880352
01/01/12,GNB,1.79682698179982
01/01/12,HTX,0.897622211499664
01/01/12,JAX,0.397812452599215
01/01/12,KAN,0.577767137641904
01/01/12,MIA,0.777719659173003
01/01/12,MIN,0.741825679238348
01/01/12,NOR,1.7151339259764
01/01/12,NWE,1.29709108673789
01/01/12,NYG,1.25928043896495
01/01/12,NYJ,0.956926334177439
01/01/12,OTI,1.08774473331963
01/01/12,PHI,1.27053963720348
01/01/12,PIT,0.824493969211625
01/01/12,RAI,1.38565941018442
01/01/12,RAM,1.06742201412502
01/01/12,RAV,0.535893832170602
01/01/12,SDG,1.12528389778347
01/01/12,SEA,0.7395117767343
01/01/12,SFO,0.905993219724802
01/01/12,TAM,1.20716371662772
01/01/12,WAS,0.91398745772558
01/01/17,ATL,1.42212396565368
01/01/17,BUF,0.658889617930722
01/01/17,CAR,0.833566630367322
01/01/17,CHI,0.693736495601615
