Date,Team,Sum_Rec Score
01/01/06,ATL,1.12103158565782
01/01/06,BUF,1.1334484914874
01/01/06,CAR,0.876209261918769
01/01/06,CHI,0.661585517396487
01/01/06,CIN,0.635024957557617
01/01/06,CLE,1.02192533111506
01/01/06,CLT,1.1065126458496
01/01/06,CRD,1.42793566204372
01/01/06,DAL,1.00310884993692
01/01/06,DET,1.16627564683956
01/01/06,GNB,1.27908275107784
01/01/06,HTX,0.88686192982137
01/01/06,JAX,1.19830585354086
01/01/06,KAN,1.30611397810587
01/01/06,MIA,1.17928442718903
01/01/06,MIN,1.32002950854473
01/01/06,NOR,1.28979608712445
01/01/06,NWE,1.08828816814863
01/01/06,NYJ,0.48518853798749
01/01/06,OTI,1.12954954327045
01/01/06,PHI,1.22385491294281
01/01/06,PIT,0.429401372686611
01/01/06,RAM,0.790708475681291
01/01/06,RAV,0.660800103595102
01/01/06,SEA,0.850438800359933
01/01/06,SFO,0.829592596894407
01/01/06,TAM,0.841107566070533
01/01/06,WAS,0.564653499825859
01/01/12,ATL,0.7688467357695
01/01/12,BUF,1.73942624039339
01/01/12,CAR,0.731371292787234
01/01/12,CHI,0.640394544672185
01/01/12,CIN,0.903818322917869
01/01/12,CLE,0.724356868360751
01/01/12,CLT,1.25492016945895
01/01/12,CRD,1.02854206709386
01/01/12,DAL,1.37131512037186
01/01/12,DEN,0.215121210315558
01/01/12,DET,2.26541004688834
01/01/12,GNB,2.04025163389054
01/01/12,HTX,1.01572867350335
01/01/12,JAX,0.445615173075345
01/01/12,KAN,0.652047318404755
01/01/12,MIA,0.878960508016569
01/01/12,MIN,0.839182498859068
01/01/12,NOR,1.94590269701067
01/01/12,NWE,1.47371694895091
01/01/12,NYG,1.42709325568528
01/01/12,NYJ,1.08337457350342
01/01/12,OTI,1.23142916579439
01/01/12,PHI,1.44226589195601
01/01/12,PIT,0.929984431450458
01/01/12,RAI,1.57008396567334
01/01/12,RAM,1.21057754047878
01/01/12,RAV,0.605448925788965
01/01/12,SDG,1.27657833467386
